time;cpu0;cpu1;cpu2;cpu3;cput;used;free;shared;total;rawait;wawait
11:51:40;17.15;17.24;16.44;19.49;17.59;3672;4727;431;15851;0.46;1.61
11:51:41;17.15;17.24;16.44;19.49;17.59;3691;4701;437;15851;0.46;1.61
11:51:42;17.15;17.25;16.44;19.49;17.59;3693;4701;436;15851;0.46;1.61
11:51:43;17.16;17.24;16.44;19.49;17.59;5744;2650;436;15851;0.46;1.61
11:51:44;17.16;17.25;16.45;19.49;17.59;4106;4278;439;15851;0.46;1.61
11:51:45;17.16;17.25;16.45;19.49;17.59;4827;3560;436;15851;0.46;1.61
11:51:46;17.16;17.25;16.45;19.49;17.59;5562;2822;436;15851;0.46;1.61
11:51:47;17.16;17.25;16.45;19.49;17.59;4035;4349;436;15851;0.46;1.61
11:51:48;17.16;17.25;16.45;19.49;17.59;4786;3602;436;15851;0.46;1.61
11:51:49;17.16;17.25;16.45;19.49;17.59;5510;2878;436;15851;0.46;1.61
11:51:50;17.16;17.25;16.45;19.49;17.59;4031;4353;438;15851;0.46;1.61
11:51:51;17.16;17.25;16.46;19.49;17.59;4706;3679;438;15851;0.46;1.61
11:51:52;17.17;17.25;16.46;19.50;17.60;5471;2908;437;15851;0.46;1.61
11:51:53;17.17;17.25;16.46;19.50;17.60;3792;4596;440;15851;0.46;1.61
11:51:54;17.17;17.25;16.46;19.50;17.60;4483;3902;436;15851;0.46;1.61
